"SiteID","dist.m","n","Total.seeds","seeds.m2","deliv.freq","Total.seeds.pico","seeds.m2.pico","deliv.freq.pico","Total.seeds.psme","seeds.m2.psme","deliv.freq.psme","Total.seeds.pien","seeds.m2.pien","deliv.freq.pien","Total.seeds.abla","seeds.m2.abla","deliv.freq.abla","Mean.stemarea.m2","Mean.Height.m","total.density.ha","Mean.stemarea.m2ha","mean.cones.ha","mean.nonser.cones.ha","Positioning","X20m.tree.dist","X50m.tree.dist","X100m.tree.dist","n.pico","Mean.stemarea.m2.pico","Mean.Height.m.pico","Mean.cones.pico","density.ha.pico","Mean.stemarea.m2ha.pico","mean.cones.ha.pico","mean.nonser.cones.ha.pico","area","min.slope.30","mean.slope.30","max.slope.30","min.TRI.30","mean.TRI.30","max.TRI.30","min.TPI.30","mean.TPI.30","max.TPI.30","min.roughness.30","mean.roughness.30","max.roughness.30"
"T1",100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609,-8.31816702177548,9.77077719099634,13.2015657027893,16.6323542145823,4.14549858940973,5.53492011176215,6.92434163411457,-2.04083306206576,-1.37868865966789,-0.716544257270016,13.0057364908857,18.792723795573,24.5797111002603
"T1",20,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609,-5.27217980587011,9.77077719099634,13.2015657027893,16.6323542145823,4.14549858940973,5.53492011176215,6.92434163411457,-2.04083306206576,-1.37868865966789,-0.716544257270016,13.0057364908857,18.792723795573,24.5797111002603
"T1",35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609,-11.0735714074303,9.77077719099634,13.2015657027893,16.6323542145823,4.14549858940973,5.53492011176215,6.92434163411457,-2.04083306206576,-1.37868865966789,-0.716544257270016,13.0057364908857,18.792723795573,24.5797111002603
"T1",5,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609,0.420458244554993,9.77077719099634,13.2015657027893,16.6323542145823,4.14549858940973,5.53492011176215,6.92434163411457,-2.04083306206576,-1.37868865966789,-0.716544257270016,13.0057364908857,18.792723795573,24.5797111002603
"T1",50,4,1,1.65343915343915,1,1,1.65343915343915,1,0,0,0,0,0,0,0,0,0,0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609,-11.9519782788871,9.77077719099634,13.2015657027893,16.6323542145823,4.14549858940973,5.53492011176215,6.92434163411457,-2.04083306206576,-1.37868865966789,-0.716544257270016,13.0057364908857,18.792723795573,24.5797111002603
"T1",75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012823603,6.988,2500,32.0590075,74280,74280,"Upslope","42.9",54.2,38,23,0.0129682144402174,7.16086956521739,30.8304347826087,2400,31.1237146565218,73993.0434782609,73993.0434782609,-26.1457963423311,9.77077719099634,13.2015657027893,16.6323542145823,4.14549858940973,5.53492011176215,6.92434163411457,-2.04083306206576,-1.37868865966789,-0.716544257270016,13.0057364908857,18.792723795573,24.5797111002603
"T12",100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957,6.29290956439945,7.49750935981238,8.37979741884224,9.48564548695931,3.11611650254986,3.66770195855037,4.31019432915588,-1.68369157579173,-1.06304517957885,-0.656532762315237,10.9761675347222,11.863492476852,13.0098988172745
"T12",20,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957,3.57251716382507,7.49750935981238,8.37979741884224,9.48564548695931,3.11611650254986,3.66770195855037,4.31019432915588,-1.68369157579173,-1.06304517957885,-0.656532762315237,10.9761675347222,11.863492476852,13.0098988172745
"T12",35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957,1.31604743726712,7.49750935981238,8.37979741884224,9.48564548695931,3.11611650254986,3.66770195855037,4.31019432915588,-1.68369157579173,-1.06304517957885,-0.656532762315237,10.9761675347222,11.863492476852,13.0098988172745
"T12",5,2,2,6.61375661375661,1,2,6.61375661375661,1,0,0,0,0,0,0,0,0,0,0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957,0.473373875473726,7.49750935981238,8.37979741884224,9.48564548695931,3.11611650254986,3.66770195855037,4.31019432915588,-1.68369157579173,-1.06304517957885,-0.656532762315237,10.9761675347222,11.863492476852,13.0098988172745
"T12",50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064114842085,21.768,900,57.7033578765,118191.6,118191.6,"Downslope","83.3",198,206,23,0.065128792625,22.2869565217391,140.134782608696,800,52.1030341,112107.826086957,112107.826086957,7.57298325047486,7.49750935981238,8.37979741884224,9.48564548695931,3.11611650254986,3.66770195855037,4.31019432915588,-1.68369157579173,-1.06304517957885,-0.656532762315237,10.9761675347222,11.863492476852,13.0098988172745
